0.981000 	 351.490853 	 4006.500938 
 0.982000 	 329.433084 	 4009.637460 
 0.983000 	 307.811255 	 4012.861094 
 0.984000 	 286.617759 	 4016.173910 
 0.985000 	 265.845122 	 4019.575024 
 0.986000 	 245.485997 	 4023.069284 
 0.987000 	 225.533167 	 4026.656759 
 0.988000 	 205.979537 	 4030.337391 
 0.989000 	 186.818138 	 4034.116016 
 0.990000 	 168.042119 	 4037.992366 
 0.991000 	 149.644748 	 4041.968483 
 0.992000 	 131.619411 	 4046.046328 
 0.993000 	 113.959607 	 4050.227680 
 0.994000 	 96.658947 	 4054.514285 
 0.995000 	 79.711152 	 4058.909288 
 0.996000 	 63.110053 	 4063.410806 
 0.997000 	 46.849586 	 4068.026907 
 0.998000 	 30.923792 	 4072.754166 
 0.999000 	 15.326814 	 4077.598584 
 1.000000 	 0.052898 	 4082.560404 
 1.001000 	 -14.903614 	 4087.642398 
 1.002000 	 -29.548281 	 4092.849752 
 1.003000 	 -43.886565 	 4098.177495 
 1.004000 	 -57.923837 	 4103.629866 
 1.005000 	 -71.665374 	 4109.221372 
 1.006000 	 -85.116362 	 4114.940299 
 1.007000 	 -98.281899 	 4120.797354 
 1.008000 	 -111.166995 	 4126.789024 
 1.009000 	 -123.776574 	 4132.924832 
 1.010000 	 -136.115475 	 4139.204040 
 1.011000 	 -148.188455 	 4145.630684 
 1.012000 	 -160.000190 	 4152.207762 
 1.013000 	 -171.555273 	 4158.938735 
 1.014000 	 -182.858221 	 4165.826461 
 1.015000 	 -193.913474 	 4172.875381 
 1.016000 	 -204.725394 	 4180.088506 
 1.017000 	 -215.298268 	 4187.469742 
 1.018000 	 -225.636314 	 4195.025203 
 1.019000 	 -235.743672 	 4202.749621 
 
